,branch_ins,median,College,Branch
148,1234124,6776.0,IIT Dharwad,"Mathematics and  Computing(4 Years, B. Tech)"
161,1065281,6811.0,IIT Kharagpur,"Manufacturing Science and  Engineering with M. Tech. in Industrial and  Systems Engineering and  Management (5 Years, B. Tech - M. Tech Dual Deg.)"
151,1114125,6817.0,IIT Gandhinagar,"Mechanical Engineering(4 Years, B. Tech)"
64,1105207,6855.0,IIT Madras,"Biological Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
162,1134127,7019.0,IIT Roorkee,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
147,1094103,7031.5,IIT Kanpur,"Biological Sciences and  Bioengineering (4 Years, B. Tech)"
158,1065215,7193.5,IIT Kharagpur,"Civil Engineering with any ofthe listed specialization(5 Years, B. Tech- M. Tech Dual Deg.)"
169,1015255,7206.0,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)"
156,1144111,7241.0,IIT (ISM) Dhanbad,"Electrical Engineering (4 Years, B. Tech)"
144,1054125,7261.0,IIT Indore,"Mechanical Engineering(4 Years, B. Tech)"
164,1064105,7345.0,IIT Kharagpur,"Biotechnology and  Biochemical Engineering (4 Years, B. Tech)"
142,1174109,7552.5,IIT Guwahati,"Civil Engineering (4 Years, B. Tech)"
159,1104132,7562.0,IIT Madras,"Naval Architecture and  Ocean Engineering (4 Years, B. Tech)"
176,1165233,7655.5,IIT (BHU) Varanasi,"Mechanical Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
167,1134194,7679.5,IIT Roorkee,"Biosciences and  Bioengineering(4 Years, B. Tech)"
168,1174108,7892.5,IIT Guwahati,"Chemical Science and  Technology(4 Years, B. Tech)"
137,1154125,7928.0,IIT Ropar,"Mechanical Engineering(4 Years, B. Tech)"
104,1194111,7958.0,IIT Goa,"Electrical Engineering (4 Years, B. Tech)"
163,1164107,7965.0,IIT (BHU) Varanasi,"Chemical Engineering (4 Years, B. Tech)"
166,1165267,7966.0,IIT (BHU) Varanasi,"Engineering Physics(5 Years, B. Tech - M. Tech Dual Deg.)"
143,1064204,8025.0,IIT Kharagpur,"Physics (4 Years, Bachelor of Science)"
